depth,age,sum_pollen,pollen_ID_per,unknown_per,sum_objects_per,abb_pic_mix,abies_b,acer_mix,alnus_mix,betula_mix,corylus_c,eucalyptus,juni_thuya,npp_mix,picea_mix,pinus_b_mix,pinus_mix,pinus_s,quercus_r,tricolp_mix,tripor_mix
879,6661,482,79.0,20.95,127.59,28.01,4.98,0.83,0.41,4.77,0.83,0.21,2.90,27.59,23.03,20.12,40.46,20.33,0.62,1.45,7.05
882,6696,383,82.2,17.75,133.16,25.33,4.44,0.78,0.00,3.92,0.26,0.78,2.61,33.16,20.89,30.29,47.78,17.49,0.78,1.57,5.48
885,6732,406,79.1,20.94,132.27,33.50,8.37,1.48,0.74,3.20,0.49,0.49,3.94,32.27,25.12,21.18,33.50,12.32,1.72,3.20,5.67
888,6767,327,84.4,15.60,114.98,18.35,6.12,1.53,0.31,1.53,0.92,0.00,1.22,14.98,12.23,51.38,60.24,8.87,0.31,1.83,2.75
891,6803,411,83.0,17.03,114.60,8.03,3.65,4.14,0.24,2.43,1.22,0.24,1.95,14.60,4.38,54.26,63.75,9.49,0.97,5.11,5.84
894,6838,535,81.7,18.32,121.12,26.73,6.17,0.93,0.19,2.62,0.37,0.56,2.99,21.12,20.56,27.85,47.10,19.25,0.19,1.12,4.49
897,6874,344,82.6,17.44,112.79,14.83,3.78,1.16,0.29,1.16,0.29,0.29,2.62,12.79,11.05,42.73,61.34,18.60,0.58,1.74,2.91
900,6909,656,75.9,24.09,133.84,27.13,8.08,1.37,0.30,4.42,0.30,1.07,2.90,33.84,19.05,22.26,37.96,15.70,0.46,1.83,7.32
903,6944,571,84.9,15.06,114.01,6.65,1.40,0.53,0.35,0.88,0.70,0.18,1.23,14.01,5.25,33.80,74.26,40.46,0.18,0.70,2.45
906,6980,504,79.4,20.63,140.08,20.24,6.55,2.38,0.20,1.59,0.40,0.20,0.99,40.08,13.69,33.73,52.58,18.85,0.79,3.17,2.98
909,7015,658,81.2,18.84,122.95,26.44,4.71,0.30,0.15,1.67,0.30,0.46,2.43,22.95,21.73,27.36,48.94,21.58,0.46,0.76,3.04
912,7051,499,80.6,19.44,133.67,19.44,5.01,1.80,0.40,1.40,0.00,0.20,1.40,33.67,14.43,44.89,55.91,11.02,0.00,1.80,2.81
915,7086,650,81.8,18.15,130.15,25.85,5.85,1.23,0.62,0.62,0.31,0.15,1.54,30.15,20.00,30.92,51.23,20.31,0.31,1.54,1.69
918,7122,507,78.1,21.89,123.67,34.71,12.23,0.99,0.00,0.79,0.20,0.20,2.17,23.67,22.49,29.78,38.86,9.07,0.20,1.18,1.78
921,7157,553,81.2,18.81,132.37,58.59,16.27,1.81,0.00,1.63,0.18,0.54,1.81,32.37,42.31,10.49,16.09,5.61,0.54,2.35,2.89
925,7205,530,84.9,15.09,129.06,11.70,2.08,1.70,0.38,2.45,0.38,0.00,1.51,29.06,9.62,39.81,66.04,26.23,0.75,2.45,3.96
927,7228,298,78.9,21.14,124.16,29.53,5.37,0.34,0.34,2.68,0.00,1.01,2.35,24.16,24.16,23.83,41.95,18.12,0.67,1.01,4.70
930,7264,538,80.7,19.33,121.38,34.20,5.39,1.49,0.37,1.30,0.19,0.37,2.79,21.38,28.81,27.70,38.85,11.15,1.12,2.60,2.60
933,7299,862,79.9,20.07,137.24,36.89,11.37,1.62,0.00,4.29,0.81,1.39,2.78,37.24,25.52,18.79,31.21,12.41,0.93,2.55,7.19
936,7335,407,73.2,26.78,131.70,30.71,3.19,0.49,0.00,1.47,0.25,0.00,2.70,31.70,27.52,17.69,37.10,19.41,0.49,0.98,1.97
939,7370,786,82.8,17.18,109.67,38.42,17.30,0.76,0.00,0.38,0.00,0.25,1.27,9.67,21.12,32.19,41.22,9.03,0.51,1.27,0.64
942,7405,997,83.9,16.15,115.95,14.74,4.51,1.10,0.00,1.50,0.10,0.70,1.81,15.95,10.23,42.03,63.49,21.46,0.40,1.50,3.01
945,7441,596,77.5,22.48,111.07,30.03,8.05,1.01,0.00,0.00,0.00,0.17,1.51,11.07,21.98,29.03,44.13,15.10,0.67,1.68,0.50
948,7476,568,79.9,20.07,126.23,23.06,6.51,1.58,0.18,1.06,0.53,0.35,1.94,26.23,16.55,31.69,50.88,19.19,0.35,1.94,2.46
