depth,age,abb_pic_mix,abies_b,acer_mix,acer_r,acer_s,alnus_c,alnus_mix,alnus_r,betula_mix,corylus_c,eucalyptus,juni_thuya,npp_mix,picea_mix,pinus_b_mix,pinus_mix,pinus_s,quercus_r,tricolp_mix,tripor_mix,unknown
493,3714,47,11,9,2,7,0,4,2,17,5,2,23,123,32,129,207,21,4,17,37,46
496,3734,43,12,18,10,8,2,6,3,15,6,8,9,168,30,106,167,27,5,26,40,38
499,3754,62,10,7,4,2,1,3,2,20,4,3,26,522,48,170,337,60,1,10,39,76
502,3773,49,9,10,3,6,2,5,2,5,0,5,13,306,32,121,173,18,7,19,19,37
505,3792,65,14,8,5,3,1,3,2,14,1,3,10,158,46,110,164,22,1,10,22,41
508,3811,87,32,6,3,2,0,1,0,8,0,3,13,312,47,51,88,8,5,12,14,24
511,3830,95,29,3,0,3,1,3,2,17,3,3,5,232,60,90,140,12,0,4,29,37
514,3849,83,14,10,4,5,0,2,1,8,2,2,13,204,65,163,250,31,2,14,14,45
517,3867,83,15,10,4,3,2,10,7,16,5,4,20,246,58,103,181,35,1,13,43,45
520,3886,13,0,18,9,5,3,12,5,10,9,8,20,493,12,148,203,12,10,37,45,63
523,3904,28,7,25,15,8,2,2,0,14,6,5,15,193,20,161,219,26,4,37,33,50
526,3922,32,6,16,6,8,0,6,5,16,8,7,23,216,26,106,171,16,4,22,43,49
529,3941,46,5,20,8,9,1,7,6,30,6,14,21,371,38,83,207,47,4,25,59,42
532,3959,28,3,17,9,7,2,4,1,26,2,11,17,350,23,85,168,27,1,24,47,51
534,3971,37,10,10,5,3,1,3,0,25,1,2,8,73,23,123,175,18,2,13,34,36
538,3995,58,7,36,21,12,4,8,3,54,10,20,41,821,47,267,432,58,8,50,105,113
541,4013,31,5,29,18,7,4,6,1,22,12,11,22,517,23,131,187,21,4,37,57,58
544,4030,44,14,4,2,1,0,3,3,25,5,7,12,272,24,82,118,10,3,12,45,44
547,4048,16,2,10,6,3,1,4,1,16,5,4,10,309,12,72,105,10,2,17,38,38
550,4066,52,14,19,10,5,5,9,3,62,11,28,27,281,35,56,130,32,10,44,133,106
552,4078,33,8,5,0,3,1,3,2,18,1,4,10,161,22,55,105,25,4,12,29,35
555,4096,80,22,5,4,1,0,2,2,25,0,2,12,220,52,76,126,16,4,13,35,45
558,4114,50,10,10,3,6,1,3,1,9,2,2,7,242,37,162,208,17,5,17,21,60
561,4131,30,3,9,4,5,0,4,3,22,6,18,21,239,25,110,164,15,1,11,53,41
564,4149,23,4,13,10,3,0,4,4,16,1,10,22,555,19,81,116,12,6,24,38,48
567,4167,61,19,11,3,6,1,4,2,21,2,9,13,394,34,108,159,18,4,17,41,65
570,4185,18,4,29,16,12,1,6,2,32,7,11,13,282,13,132,224,27,3,36,68,60
573,4203,14,4,23,15,7,0,3,2,17,8,7,22,352,9,116,189,28,1,27,41,59
576,4222,46,6,9,5,2,0,3,3,24,3,3,10,226,38,160,218,23,3,15,42,46
579,4240,36,5,5,2,2,2,5,3,6,5,2,12,408,29,41,125,41,1,11,21,26
582,4258,58,12,5,2,3,1,6,5,26,3,2,12,234,44,121,164,11,9,15,40,35
585,4277,33,6,15,9,6,1,6,3,28,5,11,14,257,24,89,153,19,1,17,62,46
588,4295,29,8,15,10,4,3,3,0,12,3,9,14,264,19,54,128,31,2,21,35,34
591,4314,26,2,20,10,7,3,5,2,31,5,7,15,339,21,103,175,22,4,27,57,62
594,4333,44,9,9,5,3,0,2,2,35,5,8,12,318,31,67,217,61,2,12,53,31
597,4352,45,9,10,3,5,4,7,2,39,6,8,14,327,33,140,242,35,3,15,66,45
600,4372,24,7,12,7,4,2,6,4,56,9,10,11,513,15,69,195,55,5,19,90,67
603,4391,16,7,17,10,5,1,2,1,10,2,5,20,474,8,73,173,37,4,22,22,32
606,4411,12,2,11,8,2,1,2,1,18,4,10,20,332,7,79,140,24,6,21,37,37
609,4430,14,6,12,8,3,8,12,2,43,5,15,19,438,7,116,163,17,5,19,82,52
612,4450,27,3,9,5,4,3,6,2,46,12,9,22,490,22,92,166,30,5,16,83,60
615,4470,18,5,10,4,6,3,5,1,43,4,8,12,340,11,50,146,41,3,14,66,37
618,4490,43,10,17,11,5,5,7,1,31,4,6,8,207,30,152,211,33,2,24,60,43
621,4510,26,2,8,4,2,4,5,1,42,4,9,16,365,20,76,169,41,1,12,64,41
624,4530,62,6,11,3,7,8,12,4,55,2,5,21,261,52,152,313,64,6,23,84,89
627,4551,32,3,15,5,6,2,5,2,37,2,10,25,330,27,99,147,14,5,23,67,49
630,4571,68,18,11,6,4,4,9,5,40,5,7,27,305,39,176,257,27,5,23,71,73
